file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0518_0148_867524_to_868563,ཡང་མ་གིར་ ,yang ma gir _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0518_0148_867524_to_868563.wav,STT_MV,2,10,1.039,wav16k/STT_MV0518_0148_867524_to_868563.wav,ཡང་མ་གིར་
STT_MV0519_0007_49123_to_50550,ད་འདིར་ཏོག་ཙི་ལྟོས་ཤིག་ ,da 'dir tog tsi ltos shig _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0519_0007_49123_to_50550.wav,STT_MV,2,24,1.427,wav16k/STT_MV0519_0007_49123_to_50550.wav,ད་འདིར་ལྟོས་དི་ལྟོས་ཤིག
STT_MV0519_0008_50550_to_56163,ད་འདིར་ང་རང་ཚོའི་ས་གནས་བྷོསཱོན་ཀྲོན་གི་མི་མང་ཚང་མ་ཁྱེད་རང་ཆེད་མངགས་འདིར་བསྒུགས་བསྡད་ཡོད་ཤེས་སོང་ང་། ལགས་ལ་སེ།  ,da 'dir nga rang tsho'i sa gnas b+hosA+on kron gi mi mang tshang ma khyed rang ched mngags 'dir bsgugs bsdad yod shes song nga /_lags la se/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0519_0008_50550_to_56163.wav,STT_MV,2,110,5.613,wav16k/STT_MV0519_0008_50550_to_56163.wav,ད་དེ་ང་རང་ཚོའ་ས་གནས་བྷོ་སུན་གི་མི་མང་ཚང་མ་ཁྱེད་རང་ཆེད་མངགས་འདིར་སྒུག་བསྡད་ཡོད་རེད་ ཤེས་སོང་ང་། ལགས་སོ།
STT_MV0519_0010_60833_to_64220,ཨེ་ནས་འདས་ཡག་ཚིགས་བཅད་ག་རེ་སྐྱོར་ཡ་ཡོད་པ་ཡིན་ནས་ ,e nas 'das yag tshigs bcad ga re skyor ya yod pa yin nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0519_0010_60833_to_64220.wav,STT_MV,2,49,3.387,wav16k/STT_MV0519_0010_60833_to_64220.wav,ཨེ་ནས་འདི་ཡ་ཚིག་བཅད་ག་རེ་བསྐྱོན་ཡ་ཡོད་པ་ཡིན་ནས།
STT_MV0519_0009_56163_to_60833,བྱས་ཙང་དེ་རིང་འདི་ལ་ཡག་ལོ་གསར་གི་རྟེན་འབྲེལ་མཚོན་བྱེད་བཤད་པ་དང་ ,byas tsang de ring 'di la yag lo gsar gi rten 'brel mtshon byed bshad pa dang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0519_0009_56163_to_60833.wav,STT_MV,2,64,4.67,wav16k/STT_MV0519_0009_56163_to_60833.wav,བྱས་ཙང་དེ་རིང་འདི་ལ་ཡ་ལོ་གསར་གི་རྟེན་འབྲེལ་མཚོན་བྱེད་བཤད་པ་དང་
STT_MV0519_0011_64220_to_73407,གང་ཡག་ཡག་དང་གང་གཟབ་གཟབ་མ་གཏོགས་བཙོག་པ་འདི་འདྲས་བཤད་ན་ཁྱེད་རང་ཁྱོན་ནས་འགྲིག་གི་མ་རེད་གདའ་ཤེས་སོང་ང་། ལགས་ལ་སེ་ད་ངས་སྐུ་ངོ་ལ་སྙན་སེང་ཞུ་རྒྱུ་ ,gang yag yag dang gang gzab gzab ma gtogs btsog pa 'di 'dras bshad na khyed rang khyon nas 'grig gi ma red gda' shes song nga /_lags la se da ngas sku ngo la snyan seng zhu rgyu _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0519_0011_64220_to_73407.wav,STT_MV,2,140,9.187,wav16k/STT_MV0519_0011_64220_to_73407.wav,གང་ཡག་ཡག་དང་གང་གཟབ་གཟབ་མ་གཏོགས་བཙོག་པ་དེ་འདྲས་བཤད་ན་ ཁྱོད་རང་ཁྱོན་ནས་འགྲིག་གི་མ་རེད་ད་ཤེས་སོང་ང། ལགྐུ་ངོ ད་ངས་བུ་གུ་ལ་ཡ་སྙན་སེང་ཞུ་རྒྱུ།
STT_MV0519_0012_73407_to_80013,ཨོ་ཙི་གཙང་མ་མ་གཏོགས་ད་བཙོག་པ་དེ་གས་གང་ག་ད་གིན་ཕ་གིར་ཟ་ཁང་ནང་ལ་ཡག་བཏང་།  ,o tsi gtsang ma ma gtogs da btsog pa de gas gang ga da gin pha gir za khang nang la yag btang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0519_0012_73407_to_80013.wav,STT_MV,2,72,6.606,wav16k/STT_MV0519_0012_73407_to_80013.wav,འོ་ཙི་གཙང་མ་མ་གཏོགས་ད་བཙོག་པ་དེ་གས་གང་ཚང་ངས་ད་གིན་ཕ་གིར་ཟ་ཁང་ནང་ལ་ཡ་བཏང
STT_MV0519_0013_80013_to_83283,ཆུ་འདི་གས་མར་ཧྥྀལཱཤི་ཨའོཋྀ་བྱས་ ,chu 'di gas mar h+ph-ilAshi a'oTh-i byas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0519_0013_80013_to_83283.wav,STT_MV,2,32,3.27,wav16k/STT_MV0519_0013_80013_to_83283.wav,ཆུ་དེ་གས་མར་ཧྥྀལཤི་ཨའོཌྀ་བྱས།
STT_MV0519_0014_83283_to_91160,ཆ་ཚང་གཙང་མ་གཙང་རྐྱང་སླེབས་ཡིན་ལགས། ཨོ་ཙི་འབྲས་དཀར་ནི་འབྲས་དཀར་རང་རེད། ལགས་ལ། ངས་འདི་ནས་མར་གློད་ཡ་གི་བཙོག་པ་དེ་ཞུ་གི་མེད།  ,cha tshang gtsang ma gtsang rkyang slebs yin lags/_o tsi 'bras dkar ni 'bras dkar rang red/_lags la/_ngas 'di nas mar glod ya gi btsog pa de zhu gi med/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0519_0014_83283_to_91160.wav,STT_MV,2,122,7.877,wav16k/STT_MV0519_0014_83283_to_91160.wav,ཕཆ་ཚད་གཙང་མ་གཙང་ྐྱ་སླེབས་ཡིན་ལ། ཨོ་ཙི་བྲས་དཀར་ནི་བྲས་དཀར་རང་རེད། ལགས་འོ། ངས་འདི་ནས་མར་གློད་ཡ་གི་བཙོག་པ་དེ་ཞུ་ཀི་མེད།
STT_MV0519_0019_121190_to_122994,ཧ་ལམ་ང་ལོ་ཉི་ཤུ་ ,ha lam nga lo nyi shu _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0519_0019_121190_to_122994.wav,STT_MV,2,17,1.804,wav16k/STT_MV0519_0019_121190_to_122994.wav,ཧ་ལམ་ང་ལོ་ཉི་ཤུ
